2023-06-23 11:33:55 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:33:55 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:35:34 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:35:34 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:35:34 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:35:34 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:37:57 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:37:58 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:37:58 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:37:58 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:37:58 error: [PUT] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:20 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:20 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:20 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:20 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:21 error: [PUT] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:37 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:37 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:37 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:37 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:39:38 error: [PUT] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:20 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:20 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:20 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:21 error: [PUT] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:21 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:47 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:47 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:47 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:48 error: [PUT] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:42:48 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:44:08 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:44:08 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:44:08 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:44:08 error: [PUT] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:44:08 error: [GET] /api/users/roles/getRoles >> StatusCode:: 401, Message:: Unauthorized
2023-06-23 11:44:08 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:55:03 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:55:03 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:55:03 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:55:03 error: [PUT] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:55:04 error: [GET] /api/users/roles/getRoles >> StatusCode:: 401, Message:: Unauthorized
2023-06-23 11:55:04 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:55:26 error: [GET] /api/ussser/skillSet/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:56:02 error: [GET] /api/ussser/skillSet/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 11:57:46 error: [GET] /api/ussser/skillSet/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 12:33:03 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 12:33:04 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 12:33:04 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 12:33:04 error: [PUT] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 12:33:05 error: [GET] /api/users/roles/getRoles >> StatusCode:: 401, Message:: Unauthorized
2023-06-23 12:33:05 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:06:09 error: [GET] /api/users/ >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:06:09 error: [GET] /api/users/ >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:06:09 error: [GET] /api/users//getAsllmodules >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:07:20 error: [GET] /api/users/ >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:07:20 error: [GET] /api/users/ >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:07:20 error: [GET] /api/users//getAsllmodules >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:07:55 error: [GET] /api/users/ >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:07:55 error: [GET] /api/users/ >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:07:55 error: [GET] /api/users//getAsllmodules >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:08:58 error: [GET] /api/users/ >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:08:58 error: [GET] /api/users//getAsllmodules >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:09:31 error: [GET] /api/users/ >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:09:31 error: [GET] /api/users//getAsllmodules >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-23 15:10:28 error: [GET] /api/users/getAuth >> StatusCode:: 401, Message:: Unauthorized
2023-06-23 15:10:28 error: [GET] /api/users//getAsllmodules >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
